data,id
2015-07-31,41912
2015-07-31,40435
2015-07-31,9599
2015-08-03,30855
2015-08-03,42216
2015-08-03,33313
2015-08-03,19161
2015-08-03,38465
2015-08-03,34645
2015-08-03,41658
2015-08-03,24799
2015-08-03,40630
2015-08-03,9246
2015-08-03,40687
2015-08-04,21808
2015-08-04,21983
2015-08-04,10548
2015-08-04,23940
2015-08-04,23936
2015-08-04,41141
2015-08-04,38430
2015-08-04,17826
2015-08-04,15429
2015-08-04,14436
2015-08-04,16622
2015-08-04,37241
2015-08-04,15095
2015-08-04,12108
2015-08-04,15445
2015-08-04,14091
2015-08-04,23277
2015-08-04,24161
2015-08-04,23794
2015-08-04,13101
2015-08-04,16497
2015-08-04,9073
2015-08-04,15504
2015-08-04,15276
2015-08-04,38102
2015-08-04,39947
2015-08-04,41207
2015-08-04,39751
2015-08-04,7223
2015-08-04,23476
2015-08-04,275
2015-08-04,8548
2015-08-04,14706
2015-08-04,42574
2015-08-04,41498
2015-08-04,41113
2015-08-04,19155
2015-08-04,39780
2015-08-04,24950
2015-08-04,13803
2015-08-04,24699
2015-08-04,10988
2015-08-04,21787
2015-08-05,32300
2015-08-05,2797
2015-08-05,41754
2015-08-05,14865
2015-08-05,23481
2015-08-05,19291
2015-08-05,25593
2015-08-05,19008
2015-08-05,14611
2015-08-05,42755
2015-08-05,24571
2015-08-05,15030
2015-08-05,36624
2015-08-06,40796
2015-08-06,42836
2015-08-06,42851
2015-08-06,32522
2015-08-06,42171
2015-08-06,42173
2015-08-06,42339
2015-08-06,42303
2015-08-06,11979
2015-08-06,41752
2015-08-06,42301
2015-08-07,40401
2015-08-07,8824
2015-08-07,16466
2015-08-07,2793
2015-08-07,7625
2015-08-07,29193
2015-08-10,14959
2015-08-10,36394
2015-08-10,20885
2015-08-10,40252
2015-08-10,13490
2015-08-10,24682
2015-08-10,25286
2015-08-10,41950
2015-08-10,14425
2015-08-10,15850
2015-08-10,4691
2015-08-10,41815
2015-08-10,14508
2015-08-10,23909
